,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0,591.0,810.0,242.0,407.0,369.0,495.0,218.0,318.0,881.0,1264.0,260.0,387.0,526.0,892.0,207.0,325.0
1,608.0,768.0,250.0,410.0,356.0,488.0,228.0,309.0,877.0,1242.0,304.0,408.0,587.0,844.0,184.0,329.0
2,612.0,899.0,249.0,439.0,415.0,488.0,206.0,306.0,805.0,1175.0,285.0,368.0,556.0,872.0,213.0,304.0
3,651.0,911.0,211.0,434.0,400.0,445.0,197.0,333.0,811.0,1092.0,301.0,349.0,590.0,934.0,230.0,303.0
4,605.0,980.0,241.0,464.0,390.0,547.0,235.0,289.0,756.0,1136.0,261.0,364.0,583.0,871.0,214.0,256.0
5,575.0,1025.0,238.0,471.0,401.0,585.0,268.0,276.0,697.0,1003.0,290.0,359.0,579.0,893.0,228.0,304.0
6,548.0,993.0,269.0,469.0,425.0,584.0,305.0,323.0,710.0,912.0,279.0,392.0,538.0,902.0,244.0,299.0
7,518.0,1018.0,305.0,491.0,441.0,613.0,362.0,309.0,586.0,851.0,351.0,456.0,480.0,812.0,261.0,338.0
8,514.0,985.0,343.0,533.0,481.0,626.0,412.0,316.0,500.0,771.0,287.0,413.0,503.0,882.0,253.0,373.0
9,478.0,929.0,335.0,537.0,507.0,732.0,471.0,340.0,442.0,733.0,283.0,431.0,458.0,867.0,278.0,371.0
10,465.0,946.0,395.0,596.0,478.0,727.0,483.0,324.0,424.0,640.0,275.0,454.0,471.0,834.0,273.0,407.0
11,459.0,880.0,424.0,562.0,498.0,693.0,606.0,345.0,367.0,646.0,269.0,438.0,384.0,849.0,310.0,462.0
12,440.0,867.0,425.0,580.0,461.0,750.0,561.0,385.0,342.0,566.0,289.0,452.0,458.0,791.0,349.0,476.0
13,422.0,857.0,458.0,616.0,448.0,795.0,627.0,408.0,343.0,580.0,272.0,441.0,394.0,764.0,326.0,441.0
14,422.0,806.0,499.0,630.0,451.0,712.0,646.0,417.0,310.0,588.0,270.0,417.0,399.0,787.0,333.0,505.0
15,448.0,735.0,570.0,629.0,456.0,813.0,619.0,401.0,295.0,619.0,269.0,410.0,380.0,759.0,293.0,496.0
16,437.0,706.0,529.0,650.0,454.0,738.0,620.0,443.0,305.0,624.0,289.0,432.0,358.0,740.0,326.0,541.0
17,395.0,670.0,521.0,731.0,432.0,813.0,629.0,409.0,317.0,672.0,284.0,449.0,348.0,690.0,308.0,524.0
18,422.0,643.0,510.0,636.0,441.0,821.0,619.0,473.0,326.0,735.0,293.0,418.0,350.0,688.0,285.0,532.0
19,372.0,655.0,561.0,622.0,458.0,766.0,623.0,470.0,394.0,755.0,308.0,433.0,320.0,687.0,308.0,460.0
20,380.0,622.0,523.0,590.0,435.0,762.0,606.0,465.0,392.0,810.0,351.0,460.0,347.0,675.0,264.0,510.0
21,389.0,636.0,513.0,562.0,415.0,802.0,569.0,449.0,407.0,848.0,383.0,487.0,356.0,637.0,281.0,458.0
22,376.0,635.0,566.0,558.0,385.0,773.0,575.0,457.0,382.0,867.0,353.0,518.0,339.0,597.0,299.0,512.0
23,399.0,628.0,581.0,563.0,383.0,799.0,483.0,433.0,453.0,878.0,382.0,533.0,312.0,622.0,264.0,479.0
24,388.0,638.0,570.0,526.0,392.0,753.0,519.0,354.0,512.0,1008.0,344.0,555.0,309.0,593.0,266.0,465.0
25,396.0,692.0,545.0,510.0,371.0,775.0,522.0,355.0,472.0,993.0,361.0,561.0,306.0,611.0,274.0,448.0
26,440.0,700.0,458.0,492.0,345.0,741.0,521.0,362.0,521.0,1069.0,359.0,567.0,328.0,577.0,277.0,435.0
27,457.0,754.0,530.0,422.0,373.0,689.0,509.0,326.0,503.0,1038.0,376.0,570.0,333.0,595.0,289.0,428.0
28,477.0,796.0,527.0,377.0,386.0,656.0,530.0,301.0,534.0,1019.0,415.0,593.0,320.0,563.0,266.0,432.0
29,501.0,773.0,465.0,418.0,391.0,637.0,551.0,299.0,546.0,1077.0,357.0,614.0,328.0,524.0,279.0,432.0
30,489.0,806.0,424.0,435.0,361.0,594.0,589.0,348.0,534.0,1052.0,403.0,624.0,361.0,540.0,283.0,349.0
31,499.0,871.0,421.0,387.0,443.0,569.0,605.0,379.0,490.0,984.0,384.0,639.0,329.0,532.0,286.0,374.0
32,549.0,856.0,433.0,391.0,462.0,592.0,586.0,356.0,517.0,921.0,387.0,652.0,360.0,497.0,262.0,371.0
33,578.0,901.0,425.0,377.0,510.0,502.0,627.0,431.0,462.0,862.0,386.0,603.0,373.0,499.0,317.0,339.0
34,527.0,934.0,398.0,466.0,538.0,524.0,620.0,464.0,497.0,764.0,369.0,630.0,371.0,493.0,247.0,350.0
35,606.0,888.0,377.0,429.0,555.0,594.0,680.0,508.0,424.0,672.0,374.0,585.0,382.0,443.0,313.0,362.0
36,561.0,885.0,358.0,461.0,627.0,603.0,688.0,561.0,379.0,641.0,375.0,497.0,403.0,475.0,319.0,359.0
37,563.0,839.0,369.0,518.0,660.0,612.0,749.0,648.0,343.0,574.0,332.0,493.0,362.0,457.0,313.0,360.0
38,648.0,797.0,331.0,485.0,729.0,565.0,772.0,733.0,356.0,468.0,310.0,481.0,358.0,447.0,338.0,374.0
39,586.0,786.0,357.0,512.0,746.0,621.0,781.0,748.0,324.0,412.0,321.0,432.0,373.0,442.0,382.0,369.0
40,626.0,777.0,350.0,523.0,764.0,633.0,839.0,828.0,313.0,364.0,286.0,400.0,338.0,418.0,363.0,370.0
41,647.0,687.0,375.0,518.0,830.0,674.0,814.0,896.0,289.0,353.0,259.0,328.0,360.0,435.0,342.0,385.0
42,605.0,633.0,364.0,582.0,842.0,554.0,886.0,932.0,293.0,310.0,284.0,320.0,384.0,442.0,373.0,388.0
43,604.0,606.0,402.0,523.0,933.0,612.0,892.0,949.0,298.0,282.0,254.0,329.0,370.0,419.0,341.0,378.0
44,610.0,563.0,387.0,571.0,895.0,578.0,912.0,949.0,247.0,324.0,261.0,321.0,341.0,413.0,389.0,431.0
45,551.0,507.0,406.0,579.0,873.0,555.0,905.0,985.0,268.0,288.0,289.0,323.0,414.0,402.0,397.0,450.0
46,575.0,438.0,446.0,569.0,873.0,534.0,969.0,972.0,306.0,288.0,237.0,359.0,407.0,399.0,359.0,461.0
47,539.0,398.0,385.0,571.0,920.0,495.0,1025.0,1005.0,310.0,330.0,204.0,357.0,393.0,432.0,368.0,460.0
48,510.0,388.0,393.0,551.0,871.0,512.0,1023.0,924.0,300.0,350.0,253.0,406.0,428.0,418.0,375.0,490.0
49,538.0,348.0,468.0,601.0,883.0,441.0,1065.0,921.0,281.0,331.0,251.0,434.0,421.0,394.0,348.0,467.0
