,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0,327.0,881.0,286.0,237.0,239.0,422.0,204.0,234.0,603.0,1926.0,625.0,468.0,370.0,548.0,358.0,464.0
1,304.0,900.0,211.0,242.0,247.0,506.0,214.0,229.0,641.0,1961.0,486.0,539.0,378.0,555.0,331.0,448.0
2,350.0,881.0,228.0,277.0,287.0,545.0,199.0,273.0,659.0,1870.0,468.0,564.0,358.0,579.0,271.0,383.0
3,374.0,842.0,195.0,260.0,320.0,658.0,225.0,311.0,628.0,1779.0,450.0,542.0,368.0,588.0,268.0,384.0
4,328.0,833.0,221.0,248.0,327.0,758.0,273.0,363.0,625.0,1612.0,417.0,543.0,379.0,574.0,277.0,414.0
5,348.0,767.0,221.0,301.0,379.0,907.0,311.0,360.0,587.0,1392.0,505.0,525.0,355.0,562.0,281.0,391.0
6,338.0,734.0,265.0,286.0,395.0,1005.0,388.0,438.0,476.0,1341.0,540.0,475.0,319.0,517.0,303.0,372.0
7,306.0,683.0,280.0,270.0,498.0,1083.0,439.0,454.0,535.0,1102.0,580.0,479.0,351.0,454.0,330.0,348.0
8,338.0,630.0,323.0,267.0,439.0,1191.0,586.0,523.0,508.0,883.0,569.0,430.0,368.0,440.0,349.0,348.0
9,360.0,539.0,359.0,249.0,548.0,1213.0,696.0,570.0,506.0,767.0,540.0,361.0,348.0,446.0,335.0,355.0
10,339.0,510.0,406.0,247.0,605.0,1185.0,861.0,617.0,447.0,696.0,519.0,305.0,345.0,411.0,385.0,314.0
11,362.0,484.0,466.0,222.0,626.0,1180.0,938.0,581.0,445.0,618.0,547.0,292.0,338.0,356.0,420.0,317.0
12,357.0,451.0,488.0,226.0,624.0,1056.0,1023.0,650.0,396.0,630.0,594.0,276.0,345.0,335.0,469.0,272.0
13,354.0,447.0,499.0,237.0,642.0,933.0,1108.0,635.0,387.0,692.0,574.0,234.0,309.0,324.0,500.0,317.0
14,403.0,391.0,532.0,237.0,682.0,905.0,1139.0,607.0,398.0,686.0,569.0,231.0,344.0,321.0,453.0,294.0
15,406.0,404.0,500.0,222.0,596.0,748.0,1159.0,591.0,383.0,783.0,646.0,246.0,360.0,276.0,575.0,297.0
16,373.0,399.0,613.0,210.0,686.0,686.0,1138.0,596.0,384.0,780.0,617.0,265.0,369.0,287.0,515.0,274.0
17,413.0,394.0,585.0,235.0,615.0,540.0,1175.0,528.0,370.0,794.0,730.0,271.0,335.0,291.0,622.0,294.0
18,414.0,391.0,587.0,186.0,606.0,497.0,1134.0,505.0,425.0,760.0,789.0,319.0,367.0,268.0,641.0,303.0
19,421.0,379.0,581.0,203.0,598.0,438.0,1012.0,453.0,504.0,784.0,848.0,349.0,345.0,319.0,620.0,338.0
20,409.0,369.0,600.0,229.0,550.0,394.0,947.0,446.0,520.0,814.0,937.0,385.0,344.0,293.0,655.0,300.0
21,370.0,366.0,595.0,222.0,536.0,408.0,934.0,376.0,547.0,778.0,970.0,364.0,369.0,361.0,679.0,317.0
22,354.0,404.0,602.0,227.0,528.0,447.0,888.0,406.0,536.0,780.0,916.0,398.0,372.0,326.0,666.0,342.0
23,385.0,363.0,621.0,243.0,524.0,412.0,926.0,358.0,570.0,746.0,978.0,410.0,388.0,332.0,613.0,323.0
24,405.0,358.0,639.0,273.0,511.0,450.0,911.0,321.0,597.0,656.0,947.0,407.0,356.0,391.0,627.0,343.0
25,420.0,385.0,623.0,247.0,493.0,458.0,972.0,312.0,551.0,627.0,951.0,377.0,390.0,399.0,714.0,273.0
26,416.0,388.0,594.0,271.0,532.0,499.0,1104.0,316.0,545.0,568.0,868.0,354.0,378.0,387.0,655.0,317.0
27,402.0,385.0,627.0,264.0,523.0,507.0,1197.0,316.0,539.0,557.0,808.0,366.0,369.0,406.0,644.0,282.0
28,427.0,433.0,629.0,276.0,579.0,530.0,1321.0,331.0,484.0,462.0,741.0,370.0,370.0,404.0,546.0,289.0
29,398.0,432.0,555.0,248.0,538.0,574.0,1379.0,354.0,530.0,416.0,693.0,327.0,401.0,419.0,592.0,336.0
30,442.0,437.0,558.0,303.0,602.0,581.0,1466.0,328.0,481.0,384.0,672.0,323.0,356.0,445.0,532.0,282.0
31,393.0,456.0,531.0,299.0,595.0,622.0,1621.0,374.0,432.0,328.0,653.0,252.0,352.0,437.0,544.0,303.0
32,396.0,432.0,504.0,289.0,608.0,618.0,1733.0,356.0,418.0,313.0,605.0,204.0,355.0,442.0,595.0,324.0
33,422.0,417.0,541.0,306.0,601.0,594.0,1773.0,384.0,402.0,295.0,580.0,227.0,336.0,472.0,542.0,300.0
34,392.0,426.0,497.0,244.0,602.0,602.0,1868.0,435.0,372.0,253.0,603.0,213.0,356.0,428.0,569.0,332.0
35,368.0,424.0,493.0,260.0,646.0,582.0,1984.0,471.0,324.0,240.0,534.0,210.0,372.0,415.0,572.0,297.0
