,0000,0001,0010,0011,0100,0101,0110,0111,1000,1001,1010,1011,1100,1101,1110,1111
0,582.0,821.0,228.0,465.0,389.0,559.0,180.0,296.0,796.0,1183.0,303.0,450.0,571.0,882.0,195.0,292.0
1,618.0,855.0,254.0,498.0,342.0,471.0,196.0,305.0,805.0,1106.0,282.0,396.0,610.0,920.0,224.0,310.0
2,577.0,963.0,259.0,529.0,381.0,487.0,210.0,308.0,726.0,971.0,271.0,404.0,633.0,961.0,222.0,290.0
3,591.0,972.0,309.0,547.0,411.0,482.0,307.0,292.0,605.0,882.0,308.0,396.0,595.0,933.0,257.0,305.0
4,546.0,988.0,365.0,562.0,445.0,516.0,379.0,295.0,512.0,729.0,319.0,454.0,571.0,860.0,290.0,361.0
5,507.0,1019.0,449.0,666.0,473.0,565.0,437.0,319.0,426.0,657.0,274.0,466.0,444.0,761.0,284.0,445.0
6,511.0,879.0,482.0,697.0,400.0,566.0,529.0,353.0,354.0,630.0,332.0,509.0,376.0,773.0,359.0,442.0
7,467.0,829.0,530.0,810.0,440.0,595.0,565.0,408.0,301.0,642.0,301.0,439.0,322.0,739.0,321.0,483.0
8,423.0,766.0,534.0,797.0,433.0,597.0,572.0,499.0,324.0,633.0,342.0,470.0,342.0,607.0,336.0,517.0
9,427.0,713.0,502.0,843.0,398.0,626.0,585.0,472.0,368.0,702.0,356.0,505.0,317.0,570.0,292.0,516.0
10,398.0,674.0,502.0,779.0,382.0,658.0,538.0,507.0,378.0,801.0,432.0,531.0,275.0,570.0,300.0,467.0
11,424.0,664.0,494.0,755.0,358.0,657.0,421.0,442.0,403.0,917.0,381.0,610.0,312.0,574.0,260.0,520.0
12,422.0,698.0,488.0,670.0,295.0,643.0,411.0,390.0,450.0,1052.0,458.0,650.0,280.0,545.0,272.0,468.0
13,429.0,764.0,486.0,616.0,292.0,660.0,375.0,349.0,459.0,1195.0,437.0,667.0,257.0,499.0,281.0,426.0
14,468.0,778.0,398.0,532.0,289.0,583.0,362.0,312.0,465.0,1346.0,423.0,782.0,278.0,519.0,237.0,420.0
15,437.0,823.0,406.0,508.0,319.0,558.0,318.0,329.0,560.0,1236.0,449.0,788.0,301.0,522.0,230.0,408.0
16,498.0,859.0,358.0,498.0,381.0,523.0,328.0,324.0,538.0,1267.0,455.0,777.0,285.0,489.0,239.0,373.0
17,517.0,774.0,374.0,458.0,501.0,584.0,329.0,447.0,498.0,1076.0,432.0,716.0,336.0,523.0,263.0,364.0
18,537.0,739.0,402.0,465.0,645.0,704.0,413.0,606.0,446.0,841.0,422.0,561.0,343.0,510.0,232.0,326.0
19,530.0,629.0,392.0,447.0,761.0,783.0,544.0,742.0,393.0,574.0,422.0,442.0,367.0,499.0,294.0,373.0
20,550.0,522.0,436.0,462.0,850.0,740.0,697.0,889.0,313.0,411.0,383.0,358.0,393.0,477.0,350.0,361.0
21,550.0,452.0,454.0,504.0,929.0,650.0,883.0,936.0,320.0,318.0,305.0,319.0,368.0,468.0,359.0,377.0
22,523.0,383.0,519.0,464.0,910.0,547.0,985.0,1006.0,298.0,292.0,293.0,346.0,373.0,443.0,420.0,390.0
23,514.0,329.0,494.0,506.0,918.0,498.0,1016.0,979.0,277.0,271.0,330.0,371.0,405.0,383.0,436.0,465.0
24,506.0,307.0,547.0,472.0,880.0,408.0,983.0,945.0,333.0,361.0,333.0,435.0,394.0,395.0,450.0,443.0
